SL. NO.,Reference No.,Publish Year,Licence,Types,,,,,,,,,
,,,,Monkeypox,,Chikenpox,,Measles,,Cowpox,,Normal,
,,,,Initial,Curated,Initial,Curated,Initial,Curated,Initial,Curated,Initial,Curated
1,Ali2024,2023,CC BY-NC 4.0,102,106,0,0,0,50,0,0,0,0
2,bala2023monkeypox,2023,CC BY 4.0,279,243,107,107,91,0,0,,293,293
3,campana_2023_8360076,2023,CC BY 4.0,100,14,100,1,0,,0,,100,100
4,myfirstproject_dataset2025,2025,CC BY 4.1,707,12,658,0,493,,582,,716,
5,skin-disease-detection-s7zik_dataset,2025,CC BY 4.2,49,3,104,0,,,,,,
6,skin-disease-new-0wkno_dataset,2025,CC BY 4.3,,,113,0,,40,,,208,
7,ahsan2022imagedatacollectionimplementation,2022,CC BY 4.4,,,12,6,0,50,,,,54
8,multiclass_pox_dataset,2025,CC BY 4.5,1065,,1039,162,1040,6,1764,51,1024,
9,monkeypox-xncwr_dataset,2025,CC BY 4.6,492,23,555,100,225,0,,,24,
10,cacar-monyet-ta_dataset,2025,CC BY 4.7,222,12,85,0,72,0,,,234,
11,vinay_jayanti_2024,2024,"Apache License, Version 2.0",100,,100,0,,4,99,0,,
12,ahmed_elrufai_2024,2024,CC0 1.0,427,43,113,,,,,,,
13,skin-detect-3_dataset,2025,CC BY 4.0,,,144,57,72,,,,469,100
14,ahmed2025mcvlsd,2025,CC BY 4.0,,100,900,73,,,,65,,
,Total,,,3543,556,4030,506,1993,150,2445,116,3068,547